year,value,lower,upper
2004,11100.18656,10165.04056,11961.29718
2005,11668.87684,10669.24584,12600.41733
2006,12208.92829,11142.55235,13214.71476
2007,12748.85249,11610.89785,13834.67806
2008,13153.25451,11944.08695,14319.66106
2009,13711.1884,12424.81513,14964.54347
2010,14324.04366,12956.83083,15667.65151
2011,14951.52206,13498.77158,16392.80869
2012,15648.97677,14108.06995,17190.33039
2013,16257.21798,14628.5479,17898.26145
2014,16979.57984,15259.02029,18724.39245
2015,17631.02116,15820.88487,19477.44195
