year,percentage,lower,upper,percentage_npd,lower_npd,upper_npd
2004,14.69713,13.902724,15.501593,14.288525,13.526175,15.240617
2005,14.010998,13.249618,14.646276,13.52664,12.784102,14.522952
2006,13.290073,12.469745,13.814968,12.726937,11.926079,13.787013
2007,12.839822,12.068702,13.331516,12.327997,11.505484,13.214326
2008,12.167764,11.346218,12.712563,11.705838,10.976886,12.554784
2009,11.42106,10.771449,12.035376,10.997338,10.396954,11.728748
2010,10.755917,10.178227,11.381165,10.355925,9.885407,10.997838
2011,10.129658,9.540224,10.771206,9.744657,9.310852,10.493199
2012,9.534474,8.91325,10.294626,9.16248,8.65333,10.05323
2013,8.93966,8.210286,9.7166,8.584518,8.019065,9.505498
2014,8.348669,7.562537,9.176354,8.017749,7.324155,9.119419
2015,7.676207,6.628567,8.731762,7.377429,6.329393,8.43405
