"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"226 (19-522)","140 (21-327)","260 (17-524)","9 (0-48)"
"2",2005,"256 (65-525)","152 (34-328)","253 (36-483)","11 (0-54)"
"3",2006,"282 (96-526)","163 (41-331)","211 (40-388)","13 (0-66)"
"4",2007,"304 (116-527)","186 (49-361)","189 (41-341)","14 (0-72)"
"5",2008,"321 (132-532)","145 (40-271)","211 (50-381)","18 (1-98)"
"6",2009,"340 (142-546)","162 (44-297)","188 (46-343)","20 (1-104)"
"7",2010,"363 (146-574)","159 (41-288)","190 (45-350)","22 (1-124)"
"8",2011,"387 (146-608)","159 (40-288)","188 (42-353)","25 (1-140)"
"9",2012,"415 (145-664)","133 (30-243)","178 (34-343)","30 (1-177)"
"10",2013,"443 (137-718)","151 (29-285)","146 (20-291)","33 (1-195)"
"11",2014,"478 (130-793)","116 (16-228)","134 (6-282)","39 (1-232)"
