"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"35.7% (3.1-82%)","22.3% (3.2-53.2%)","40.6% (2.7-79.6%)","1.5% (0-7.7%)"
"2",2005,"38.3% (9.6-78.7%)","22.7% (5-49.5%)","37.5% (5.4-71.2%)","1.6% (0.1-8%)"
"3",2006,"42% (14.7-76.7%)","24.3% (6.1-48.5%)","31.8% (5.9-60.3%)","1.9% (0.1-9.9%)"
"4",2007,"43.8% (17.1-75.4%)","26.7% (7.4-49.5%)","27.5% (5.8-51.8%)","2% (0.1-10.5%)"
"5",2008,"46.1% (19.2-75.9%)","20.9% (5.6-39.7%)","30.3% (7.2-54.2%)","2.6% (0.1-14%)"
"6",2009,"47.8% (20.1-76.8%)","22.8% (6.2-41.6%)","26.6% (6.5-48.6%)","2.8% (0.1-15.2%)"
"7",2010,"49.4% (20-77.8%)","21.7% (5.7-39.6%)","25.9% (6.3-47.8%)","3% (0.1-16.9%)"
"8",2011,"50.9% (19.2-80%)","21% (5.3-38.6%)","24.8% (5.6-46.4%)","3.3% (0.1-18.6%)"
"9",2012,"54.6% (19.6-83.9%)","17.8% (3.9-34%)","23.6% (4.5-46%)","4% (0.1-23.4%)"
"10",2013,"56.9% (18.9-87.3%)","19.7% (3.8-38.5%)","19.2% (2.5-40.2%)","4.2% (0.1-25.2%)"
"11",2014,"61.3% (19.3-91.7%)","15.5% (2-32.8%)","18% (0.7-40.9%)","5.1% (0.1-30.8%)"
