"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"306 (84-541)","133 (28-256)","191 (16-324)","10 (0-38)"
"2",2005,"338 (137-545)","140 (38-259)","189 (29-313)","11 (1-38)"
"3",2006,"365 (187-549)","147 (45-263)","147 (30-243)","14 (1-44)"
"4",2007,"401 (237-569)","165 (54-289)","124 (28-206)","15 (2-44)"
"5",2008,"423 (274-575)","128 (43-221)","132 (32-221)","20 (2-55)"
"6",2009,"443 (303-584)","136 (47-234)","108 (27-184)","22 (3-60)"
"7",2010,"464 (326-600)","133 (46-229)","102 (25-176)","24 (3-68)"
"8",2011,"483 (340-621)","129 (44-221)","101 (24-179)","27 (3-77)"
"9",2012,"503 (351-648)","106 (34-184)","94 (22-170)","32 (3-96)"
"10",2013,"515 (354-670)","118 (36-208)","77 (15-143)","34 (3-108)"
"11",2014,"528 (353-695)","86 (23-157)","70 (10-135)","41 (3-137)"
"12",2015,"527 (341-702)","73 (15-139)","69 (3-139)","45 (1-159)"
