"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"212 (16-521)","136 (13-360)","282 (29-562)","10 (0-35)"
"2",2005,"241 (57-517)","149 (29-359)","287 (50-546)","11 (1-36)"
"3",2006,"266 (86-512)","161 (38-361)","229 (48-421)","13 (1-42)"
"4",2007,"298 (113-528)","187 (47-392)","198 (46-360)","14 (2-42)"
"5",2008,"319 (128-534)","149 (36-300)","217 (53-396)","19 (2-53)"
"6",2009,"338 (138-545)","163 (40-317)","182 (45-338)","21 (3-61)"
"7",2010,"358 (147-559)","165 (40-314)","177 (43-334)","24 (3-70)"
"8",2011,"377 (152-581)","164 (38-314)","181 (39-353)","26 (3-80)"
"9",2012,"395 (153-613)","138 (29-269)","173 (34-344)","32 (3-99)"
"10",2013,"408 (150-635)","158 (29-315)","145 (23-299)","34 (3-112)"
"11",2014,"421 (142-668)","119 (17-246)","135 (16-290)","40 (3-143)"
"12",2015,"423 (133-678)","103 (9-222)","138 (6-308)","44 (1-167)"
