"","year","undiagnosed","diagnosed","unsuppressed","suppressed"
"1",2004,"33.4% (2.4-81.2%)","21.6% (2.1-57.4%)","43.5% (4.6-84.5%)","1.5% (0-5.7%)"
"2",2005,"35.4% (8.3-77.3%)","21.8% (4.1-53.1%)","41.2% (7.5-76.5%)","1.6% (0.1-5.4%)"
"3",2006,"39.8% (13.3-75.6%)","24% (5.8-52.6%)","34.3% (7.3-64.1%)","2% (0.2-6.3%)"
"4",2007,"42.8% (16.8-74.3%)","26.5% (7.3-53.1%)","28.7% (6.6-54.3%)","2.1% (0.2-6.1%)"
"5",2008,"45.4% (18.3-74.9%)","21.2% (5.5-42.8%)","30.7% (7.9-55.4%)","2.7% (0.3-7.5%)"
"6",2009,"48% (19.8-76.1%)","23.1% (6-44.1%)","25.9% (6.5-48.2%)","3% (0.4-8.2%)"
"7",2010,"49.5% (20.2-77.3%)","22.7% (5.8-43.1%)","24.5% (6-45.8%)","3.3% (0.4-9%)"
"8",2011,"50.4% (20.3-79%)","21.8% (5.2-41.9%)","24.2% (5.5-45.8%)","3.5% (0.4-10.3%)"
"9",2012,"53.4% (22-82.3%)","18.8% (3.9-37.9%)","23.4% (4.7-46.1%)","4.3% (0.5-13%)"
"10",2013,"54.6% (21.2-83.9%)","21.1% (3.8-42.8%)","19.7% (3.2-41.5%)","4.5% (0.4-14.7%)"
"11",2014,"58.2% (22.2-87.6%)","16.8% (2.4-36.7%)","19.3% (2.2-42.7%)","5.6% (0.4-18.6%)"
"12",2015,"59% (20.8-89.8%)","15% (1.2-34.4%)","19.8% (0.9-45.3%)","6.2% (0.2-21.4%)"
