"year","stage","value","lower","upper"
2004,"plhiv",13410.7774440691,12724.5150933685,14111.5005657262
2005,"plhiv",14012.4753962956,13257.7979978853,14767.7558476902
2006,"plhiv",14560.188240521,13742.2107926794,15401.0174925293
2007,"plhiv",15086.5390869702,14211.2450822333,15984.1507053979
2008,"plhiv",15466.6960320735,14552.6850485311,16403.6902144031
2009,"plhiv",16023.735775795,15073.6285501378,17014.1750678218
2010,"plhiv",16666.1757930953,15661.3739635586,17715.5781428149
2011,"plhiv",17323.1308277324,16245.66925908,18452.3532414598
2012,"plhiv",18083.6427161291,16924.8976407833,19290.061941618
2013,"plhiv",18760.5299065822,17519.7540901775,20057.3644118012
2014,"plhiv",19562.8769899183,18192.7910208612,21002.3724204067
2004,"undiagnosed",1933.83987406906,1712.54782336849,2159.3113357262
2005,"undiagnosed",1932.30816629556,1688.27066788529,2172.51985769018
2006,"undiagnosed",1902.17233052096,1645.64252267939,2182.5336325293
2007,"undiagnosed",1856.66053697024,1597.66114223325,2143.96292539791
2008,"undiagnosed",1789.40679207347,1546.94430853114,2065.58203440313
2009,"undiagnosed",1744.12058579501,1521.31184013779,2022.74806782182
2010,"undiagnosed",1723.9812230953,1501.64824355864,2011.94244281495
2011,"undiagnosed",1711.11450773238,1478.46279908,2020.31328145981
2012,"undiagnosed",1716.20306612907,1463.65550078328,2045.55829161801
2013,"undiagnosed",1721.8044765822,1448.5616501775,2085.14876180119
2014,"undiagnosed",1751.7989999183,1411.91795086116,2200.78967040668
2004,"pldhiv",11476.93757,11011.96727,11952.18923
2005,"pldhiv",12080.16723,11569.52733,12595.23599
2006,"pldhiv",12658.01591,12096.56827,13218.48386
2007,"pldhiv",13229.87855,12613.58394,13840.18778
2008,"pldhiv",13677.28924,13005.74074,14338.10818
2009,"pldhiv",14279.61519,13552.31671,14991.427
2010,"pldhiv",14942.19457,14159.72572,15703.6357
2011,"pldhiv",15612.01632,14767.20646,16432.03996
2012,"pldhiv",16367.43965,15461.24214,17244.50365
2013,"pldhiv",17038.72543,16071.19244,17972.21565
2014,"pldhiv",17811.07799,16780.87307,18801.58275
2004,"diagnosed",4579.29809043,3828.70154277,5333.99690073
2005,"diagnosed",4819.98672477,3999.79050001,5641.95006467
2006,"diagnosed",5050.54834809,4152.25947014,5948.44632973
2007,"diagnosed",5649.15814085,4683.15634206,6612.60418238
2008,"diagnosed",4294.66882136,3169.79852852,5416.17003236
2009,"diagnosed",4697.99339751,3493.069193,5897.82248759
2010,"diagnosed",4512.54276014,3198.5880014,5820.14714744
2011,"diagnosed",4418.20061856,2985.43380868,5843.95292818
2012,"diagnosed",3617.20416265,2027.77379665,5200.19602294
2013,"diagnosed",4021.13920148,2340.4196834,5693.82462584
2014,"diagnosed",3027.8832583,1175.5593875,4873.4581019
2004,"treated",6897.63947957,6618.19232927,7183.26572723
2005,"treated",7260.18050523,6953.28592533,7569.73682999
2006,"treated",7607.46756191,7270.03753027,7944.30879986
2007,"treated",7580.72040915,7227.58359762,7930.42759794
2008,"treated",9382.62041864,8921.93814764,9835.94221148
2009,"treated",9581.62179249,9093.60451241,10059.247517
2010,"treated",10429.65180986,9883.48855256,10961.1377186
2011,"treated",11193.81570144,10588.08703182,11781.77265132
2012,"treated",12750.23548735,12044.30762706,13433.46834335
2013,"treated",13017.58622852,12278.39102416,13730.7727566
2014,"treated",14783.1947317,13928.1246481,15605.3136825
2004,"unsuppressed",2759.055791828,1733.5716347536,3741.8057160096
2005,"unsuppressed",2686.2667869351,1578.7727760371,3745.4295710585
2006,"unsuppressed",2244.20293076345,1232.3628423764,3218.7844051845
2007,"unsuppressed",2008.89090842475,1041.8500712268,2943.3949155822
2008,"unsuppressed",2251.8289004736,954.824956341199,3501.3661266556
2009,"unsuppressed",2012.1405764229,744.4290733,3239.0441326925
2010,"unsuppressed",2033.7821029227,566.521491750002,3449.6864186544
2011,"unsuppressed",2014.8868262592,455.762551684802,3523.0647665004
2012,"unsuppressed",1912.5353231025,88.5208014785021,3677.5791654314
2013,"unsuppressed",1562.1103474224,0,3294.140386064
2014,"unsuppressed",1441.36148634075,0,3348.563992172
2004,"suppressed",4138.583687742,3441.4600112204,4884.6206945164
2005,"suppressed",4573.9137182949,3824.3072589315,5374.5131492929
2006,"suppressed",5363.26463114655,4725.5243946755,6037.6746878936
2007,"suppressed",5571.82950072525,4987.0326823578,6185.7335263932
2008,"suppressed",7130.7915181664,6334.5760848244,7967.1131912988
2009,"suppressed",7569.4812160671,6820.2033843075,8349.17543911
2010,"suppressed",8395.8697069373,7511.4512999456,9316.96706081
2011,"suppressed",9178.9288751808,8258.7078848196,10132.3244801352
2012,"suppressed",10837.7001642475,9755.8891779186,11955.7868255815
2013,"suppressed",11455.4758810976,10436.632370536,12495.003208506
2014,"suppressed",13341.8332453593,12256.749690328,14434.9151563125
