"year","undiagnosed","diagnosed","unsuppressed","suppressed"
2004,"1880 (1590-2190)","4430 (2980-5850)","2750 (1720-3740)","3920 (3450-4390)"
2005,"1860 (1560-2160)","4660 (3100-6190)","2770 (1660-3830)","4250 (3740-4760)"
2006,"1830 (1510-2120)","4870 (3200-6520)","2190 (950-3380)","5150 (4560-5740)"
2007,"1840 (1510-2130)","5460 (3700-7190)","1870 (600-3110)","5420 (4810-6040)"
2008,"1780 (1470-2090)","4210 (2210-6200)","2020 (400-3610)","6920 (6130-7720)"
2009,"1730 (1440-2050)","4470 (2340-6590)","1680 (0-3380)","7560 (6700-8430)"
2010,"1690 (1420-2010)","4370 (2070-6660)","1620 (0-3500)","8340 (7390-9300)"
2011,"1650 (1390-1980)","4220 (1730-6700)","1640 (0-3720)","9090 (8050-10160)"
2012,"1610 (1340-1970)","3460 (720-6200)","1550 (0-3960)","10640 (9430-11890)"
2013,"1560 (1280-1930)","3840 (950-6720)","1290 (0-3810)","11130 (9860-12440)"
2014,"1510 (1210-1890)","2800 (0-5980)","1190 (0-4130)","12990 (11510-14520)"
2015,"1440 (1070-1860)","2380 (0-5790)","1200 (0-4410)","14050 (12440-15740)"
