"year","undiagnosed","diagnosed","unsuppressed","suppressed"
2004,"14.5% (11.2-18.7%)","34.1% (21-49.8%)","21.2% (12.2-31.8%)","30.2% (24.4-37.3%)"
2005,"13.8% (10.6-17.7%)","34.4% (21-50.6%)","20.4% (11.2-31.3%)","31.4% (25.3-38.9%)"
2006,"13% (9.8-16.7%)","34.7% (20.9-51.5%)","15.6% (6.2-26.7%)","36.7% (29.7-45.4%)"
2007,"12.6% (9.5-16.2%)","37.4% (23.2-54.8%)","12.8% (3.8-23.7%)","37.2% (30.1-46%)"
2008,"11.9% (9-15.5%)","28.2% (13.5-46.2%)","13.6% (2.5-26.9%)","46.3% (37.4-57.5%)"
2009,"11.2% (8.5-14.8%)","28.9% (13.7-47.5%)","10.9% (0-24.4%)","48.9% (39.4-60.8%)"
2010,"10.6% (8-14%)","27.3% (11.7-46.3%)","10.1% (0-24.3%)","52.1% (41.8-64.7%)"
2011,"9.9% (7.5-13.3%)","25.4% (9.4-45%)","9.9% (0-25%)","54.8% (43.8-68.2%)"
2012,"9.3% (7-12.8%)","20% (3.7-40.1%)","9% (0-25.6%)","61.6% (49.2-77%)"
2013,"8.8% (6.4-12.1%)","21.5% (4.8-42.3%)","7.2% (0-24%)","62.5% (49.7-78.2%)"
2014,"8.2% (5.8-11.5%)","15.1% (0-36.3%)","6.4% (0-25.1%)","70.2% (55.8-88.2%)"
2015,"7.5% (5-11%)","12.5% (0-34.3%)","6.3% (0-26.1%)","73.7% (58.3-93.2%)"
